1, 4.263740e-07
2, 4.254080e-07
3, 4.339650e-07
4, 4.338695e-07
5, 4.260640e-07
6, 4.259480e-07
7, 4.298375e-07
8, 4.251490e-07
9, 4.223200e-07
10, 4.243500e-07
20, 4.235060e-07
30, 4.667110e-07
40, 4.666615e-07
50, 4.696720e-07
60, 4.682900e-07
70, 4.678200e-07
80, 4.617425e-07
90, 4.648240e-07
100, 6.845860e-07
200, 5.924955e-07
300, 6.792910e-07
400, 6.429275e-07
500, 6.304210e-07
600, 6.504210e-07
700, 6.713770e-07
800, 6.825190e-07
900, 7.089225e-07
1000, 7.047445e-07
2000, 9.736620e-07
3000, 1.159106e-06
4000, 1.355474e-06
5000, 1.511836e-06
6000, 1.691028e-06
7000, 1.887409e-06
8000, 2.076106e-06
9000, 5.419567e-06
10000, 5.628014e-06
20000, 7.035827e-06
30000, 8.608897e-06
40000, 9.791356e-06
50000, 1.153026e-05
60000, 1.296627e-05
70000, 1.455882e-05
80000, 1.588671e-05
90000, 1.729646e-05
100000, 2.017661e-05
