1, 1.257045e-07
2, 1.073065e-07
3, 1.107315e-07
4, 1.065555e-07
5, 1.065250e-07
6, 1.061480e-07
7, 1.096095e-07
8, 1.046385e-07
9, 1.039845e-07
10, 1.042355e-07
20, 1.148660e-07
30, 1.312255e-07
40, 1.305470e-07
50, 1.338655e-07
60, 1.278600e-07
70, 1.303720e-07
80, 1.367625e-07
90, 1.354360e-07
100, 2.375675e-07
200, 2.024500e-07
300, 2.021395e-07
400, 2.235915e-07
500, 2.254215e-07
600, 2.322710e-07
700, 2.437750e-07
800, 2.487585e-07
900, 2.556060e-07
1000, 2.582570e-07
2000, 3.854435e-07
3000, 4.844525e-07
4000, 5.614725e-07
5000, 6.320175e-07
6000, 7.238225e-07
7000, 8.810345e-07
8000, 1.038943e-06
9000, 1.233360e-06
10000, 1.319991e-06
20000, 2.009636e-06
30000, 2.843261e-06
40000, 3.775709e-06
50000, 4.710033e-06
60000, 5.528726e-06
70000, 6.451214e-06
80000, 7.642552e-06
90000, 8.546695e-06
100000, 9.843937e-06
