1, 1.686142e-06
2, 1.635940e-06
3, 1.629724e-06
4, 1.446537e-06
5, 1.438387e-06
6, 1.434705e-06
7, 1.419388e-06
8, 1.426996e-06
9, 1.421152e-06
10, 1.423991e-06
20, 1.441567e-06
30, 1.434671e-06
40, 1.498433e-06
50, 1.483597e-06
60, 1.542793e-06
70, 1.573413e-06
80, 3.482933e-06
90, 2.304227e-06
100, 2.313019e-06
200, 2.445870e-06
300, 2.511671e-06
400, 2.578948e-06
500, 2.634054e-06
600, 2.721608e-06
700, 2.848588e-06
800, 2.955706e-06
900, 3.008625e-06
1000, 3.007022e-06
2000, 3.713774e-06
3000, 4.073693e-06
4000, 4.446056e-06
5000, 4.809247e-06
6000, 5.135898e-06
7000, 5.525773e-06
8000, 5.896090e-06
9000, 6.456655e-06
10000, 6.602733e-06
20000, 9.338845e-06
30000, 1.137778e-05
40000, 1.371617e-05
50000, 1.632390e-05
60000, 1.896905e-05
70000, 2.182316e-05
80000, 2.428949e-05
90000, 2.719876e-05
100000, 2.997702e-05
