1, 1.274796e-06
2, 1.281323e-06
3, 1.273337e-06
4, 1.148397e-06
5, 1.135007e-06
6, 1.165212e-06
7, 1.143428e-06
8, 1.168270e-06
9, 1.177747e-06
10, 1.197857e-06
20, 1.181513e-06
30, 1.193120e-06
40, 1.233308e-06
50, 1.230591e-06
60, 1.304689e-06
70, 1.314076e-06
80, 3.281366e-06
90, 2.060510e-06
100, 2.072527e-06
200, 2.196122e-06
300, 2.251223e-06
400, 2.320604e-06
500, 2.380465e-06
600, 2.453696e-06
700, 2.581085e-06
800, 2.623273e-06
900, 2.692487e-06
1000, 2.770483e-06
2000, 3.403734e-06
3000, 3.734778e-06
4000, 4.052535e-06
5000, 4.374071e-06
6000, 4.657095e-06
7000, 5.030897e-06
8000, 5.359164e-06
9000, 5.925889e-06
10000, 5.963758e-06
20000, 8.087622e-06
30000, 9.860090e-06
40000, 1.181616e-05
50000, 1.386965e-05
60000, 1.589198e-05
70000, 1.783344e-05
80000, 1.975606e-05
90000, 2.177505e-05
100000, 2.399688e-05
