1000, 0.161, 0.269, 0.440
1000, 0.161, 0.286, 0.457
1000, 0.161, 0.287, 0.458
1500, 0.367, 0.405, 0.786
1500, 0.366, 0.410, 0.788
1500, 0.368, 0.348, 0.729
1500, 0.367, 0.281, 0.661
1500, 0.368, 0.301, 0.681
2000, 0.753, 0.199, 0.975
2000, 0.740, 0.143, 0.908
2000, 0.746, 0.307, 1.076
2000, 0.777, 0.119, 0.921
2000, 0.750, 0.251, 1.027
2500, 5.437, 0.479, 6.019
2500, 4.085, 0.398, 4.577
2500, 3.736, 0.402, 4.212
2500, 3.723, 0.262, 4.055
2500, 2.347, 0.202, 2.591
3000, 5.679, 0.437, 6.205
3000, 5.579, 0.473, 6.152
3000, 4.225, 0.250, 4.560
3000, 3.803, 0.377, 4.248
3000, 6.271, 0.470, 6.840
4000, 10.610, 0.745, 11.458
4000, 9.481, 0.758, 10.338
4000, 11.025, 0.730, 11.868
4000, 8.214, 0.821, 9.127
4000, 10.690, 0.677, 11.473
5000, 12.496, 0.474, 13.011
5000, 10.428, 0.583, 11.044
5000, 9.958, 0.872, 10.873
5000, 10.624, 0.884, 11.552
5000, 10.627, 0.288, 10.952
size, interior, exchange, total
1000, 0.162, 0.280, 0.462
1000, 0.162, 0.278, 0.460
1000, 0.161, 0.279, 0.454
1000, 0.162, 0.281, 0.460
1000, 0.161, 0.280, 0.455
1500, 0.361, 0.482, 0.867
1500, 0.362, 0.510, 0.896
1500, 0.481, 0.411, 0.927
1500, 0.389, 0.509, 0.923
1500, 0.437, 0.396, 0.864
2000, 1.452, 0.491, 1.992
2000, 0.689, 1.486, 2.200
2000, 0.717, 1.873, 2.618
2000, 1.581, 0.595, 2.230
2000, 1.765, 1.255, 3.083
2500, 1.678, 2.218, 3.943
2500, 1.001, 0.735, 1.761
2500, 1.923, 1.412, 3.391
2500, 2.310, 1.870, 4.244
2500, 1.033, 3.169, 4.234
3000, 3.062, 0.719, 3.839
3000, 2.409, 0.393, 2.855
3000, 1.675, 0.709, 2.422
3000, 2.276, 0.674, 2.997
3000, 3.076, 0.428, 3.558
4000, 4.258, 0.411, 4.725
4000, 5.034, 0.664, 5.762
4000, 4.410, 0.752, 5.223
4000, 4.490, 0.666, 5.212
4000, 5.029, 0.680, 5.770
5000, 8.053, 0.945, 9.041
5000, 6.293, 0.924, 7.254
5000, 7.833, 0.643, 8.522
5000, 5.920, 0.835, 6.790
5000, 6.478, 0.759, 7.275
