size, interior, exchange, total
1000, 0.080, 0.193, 0.299
1000, 0.080, 0.214, 0.326
1000, 0.081, 0.216, 0.329
1000, 0.081, 0.185, 0.297
1000, 0.081, 0.198, 0.301
1500, 0.182, 0.320, 0.542
1500, 0.182, 0.332, 0.555
1500, 0.182, 0.337, 0.549
1500, 0.181, 0.312, 0.525
1500, 0.181, 0.348, 0.565
2000, 0.338, 0.530, 0.892
2000, 0.342, 0.557, 0.953
2000, 0.334, 0.449, 0.820
2000, 0.347, 0.409, 0.816
2000, 0.344, 0.483, 0.851
2500, 1.115, 0.252, 1.433
2500, 1.116, 0.177, 1.361
2500, 1.068, 0.223, 1.370
2500, 1.080, 0.156, 1.305
2500, 1.200, 0.153, 1.407
3000, 2.602, 0.115, 2.792
3000, 2.157, 0.581, 2.839
3000, 2.650, 0.143, 2.853
3000, 2.732, 0.098, 2.902
3000, 2.543, 0.315, 2.950
4000, 4.197, 1.049, 5.337
4000, 4.963, 0.116, 5.171
4000, 4.948, 0.267, 5.318
4000, 4.516, 0.891, 5.526
4000, 4.713, 0.206, 5.008
5000, 5.938, 1.670, 7.638
5000, 5.842, 1.929, 7.804
5000, 5.674, 1.920, 7.627
5000, 5.808, 1.642, 7.481
5000, 5.871, 1.869, 7.771
size, interior, exchange, total
1000, 0.081, 0.216, 0.310
1000, 0.081, 0.221, 0.314
1000, 0.081, 0.216, 0.310
1000, 0.081, 0.217, 0.311
1000, 0.081, 0.215, 0.309
1500, 0.186, 0.375, 0.575
1500, 0.192, 0.347, 0.553
1500, 0.186, 0.377, 0.577
1500, 0.185, 0.377, 0.577
1500, 0.186, 0.398, 0.600
2000, 0.339, 0.485, 0.845
2000, 0.340, 0.533, 0.893
2000, 0.335, 0.474, 0.829
2000, 0.331, 0.536, 0.887
2000, 0.333, 0.536, 0.891
2500, 1.020, 0.858, 1.921
2500, 1.086, 0.487, 1.614
2500, 1.053, 0.719, 1.814
2500, 1.127, 0.274, 1.439
2500, 1.040, 0.541, 1.624
3000, 2.453, 0.360, 2.872
3000, 2.424, 0.373, 2.853
3000, 2.546, 0.242, 2.831
3000, 2.501, 0.247, 2.809
3000, 2.478, 0.290, 2.820
4000, 4.638, 0.494, 5.201
4000, 4.701, 0.466, 5.247
4000, 4.735, 0.545, 5.357
4000, 4.750, 0.419, 5.249
4000, 4.789, 0.384, 5.244
5000, 6.492, 1.510, 8.043
5000, 7.033, 0.965, 8.034
5000, 7.321, 0.616, 7.976
5000, 7.282, 0.787, 8.102
5000, 7.620, 0.324, 7.975
size, interior, exchange, total
1000, 0.080, 0.131, 0.219
1000, 0.080, 0.131, 0.219
1000, 0.080, 0.155, 0.243
1000, 0.088, 0.126, 0.224
1000, 0.080, 0.170, 0.259
1500, Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
1500, Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
1500, Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
1500, Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
1500, Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
Cannot divide grid evenly to processors in x-direction 187 x 8 != 1500
2000, 0.322, 0.221, 0.555
2000, 0.320, 0.221, 0.553
2000, 0.321, 0.232, 0.565
2000, 0.320, 0.250, 0.582
2000, 0.320, 0.210, 0.542
2500, Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
2500, Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
Cannot divide grid evenly to processors in x-direction 312 x 8 != 2500
