1, 1.801910e-07
2, 1.809595e-07
3, 1.757395e-07
4, 1.735560e-07
5, 1.833030e-07
6, 1.813750e-07
7, 1.730870e-07
8, 1.748275e-07
9, 1.731515e-07
10, 1.729760e-07
20, 1.735370e-07
30, 2.196070e-07
40, 2.208270e-07
50, 2.212900e-07
60, 2.350340e-07
70, 2.251680e-07
80, 2.184385e-07
90, 2.136055e-07
100, 4.162750e-07
200, 3.477315e-07
300, 3.689085e-07
400, 3.873160e-07
500, 3.876460e-07
600, 4.031165e-07
700, 4.236475e-07
800, 4.271560e-07
900, 4.456170e-07
1000, 4.482330e-07
2000, 6.961180e-07
3000, 8.417025e-07
4000, 1.001363e-06
5000, 1.128304e-06
6000, 1.276648e-06
7000, 1.443149e-06
8000, 1.622283e-06
9000, 1.917058e-06
10000, 2.032917e-06
20000, 3.201383e-06
30000, 4.238235e-06
40000, 5.201310e-06
50000, 6.200279e-06
60000, 7.255052e-06
70000, 8.444787e-06
80000, 9.993387e-06
90000, 1.102535e-05
100000, 1.208028e-05
